GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-service,com.akulaku.transaction.domain.exception,IdempotencyInProgressException,5,0,0,0,2,0,1,0,1,0
transaction-service,com.akulaku.transaction.domain.exception,AccountNotFoundException,6,0,0,0,2,0,1,0,1,0
transaction-service,com.akulaku.transaction.domain.exception,AccountInactiveException,3,9,0,0,1,3,1,1,1,1
transaction-service,com.akulaku.transaction.domain.exception,InsufficientLimitException,6,21,0,0,2,4,2,1,2,1
transaction-service,com.akulaku.transaction.domain.exception,DuplicateExternalReferenceException,5,0,0,0,2,0,1,0,1,0
transaction-service,com.akulaku.transaction.domain.exception,IdempotencyConflictException,5,0,0,0,2,0,1,0,1,0
transaction-service,com.akulaku.transaction.domain.exception,DomainException,5,4,0,0,2,2,1,1,1,1
transaction-service,com.akulaku.transaction.domain.model,Currency,0,21,0,0,0,4,0,1,0,1
transaction-service,com.akulaku.transaction.domain.model,TransactionType,0,21,0,0,0,4,0,1,0,1
transaction-service,com.akulaku.transaction.domain.model,CreditAccount,80,117,9,7,18,33,10,9,4,7
transaction-service,com.akulaku.transaction.domain.model,TransactionStatus,0,27,0,0,0,5,0,1,0,1
transaction-service,com.akulaku.transaction.domain.model,Transaction,64,119,12,8,17,33,20,8,10,8
transaction-service,com.akulaku.transaction.domain.model,LedgerEntry,43,53,0,0,9,16,9,2,9,2
transaction-service,com.akulaku.transaction.domain.model,EntryType,0,15,0,0,0,3,0,1,0,1
transaction-service,com.akulaku.transaction.domain.model,AccountStatus,0,21,0,0,0,4,0,1,0,1
transaction-service,com.akulaku.transaction.domain.model,Money,119,95,16,8,17,24,16,12,5,11
transaction-service,com.akulaku.transaction.infrastructure.persistence.adapter,LedgerRepositoryAdapter,68,0,0,0,21,0,3,0,3,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.adapter,OutboxRepositoryAdapter,41,0,0,0,13,0,2,0,2,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.adapter,CreditAccountRepositoryAdapter,90,0,0,0,24,0,6,0,6,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.adapter,TransactionRepositoryAdapter,83,0,0,0,22,0,4,0,4,0
transaction-service,com.akulaku.transaction.domain.event,TransactionCreatedEvent,0,21,0,0,0,1,0,1,0,1
transaction-service,com.akulaku.transaction,TransactionServiceApplication,8,0,0,0,3,0,2,0,2,0
transaction-service,com.akulaku.transaction.interfaces.rest.support,CorrelationIdFilter,29,0,4,0,9,0,4,0,2,0
transaction-service,com.akulaku.transaction.interfaces.rest,TransactionController,83,0,0,0,26,0,3,0,3,0
transaction-service,com.akulaku.transaction.interfaces.rest,GlobalExceptionHandler,234,0,6,0,44,0,22,0,19,0
transaction-service,com.akulaku.transaction.interfaces.rest.dto,FieldErrorItem,9,0,0,0,1,0,1,0,1,0
transaction-service,com.akulaku.transaction.interfaces.rest.dto,TransactionResponse,21,0,0,0,1,0,1,0,1,0
transaction-service,com.akulaku.transaction.interfaces.rest.dto,CreateTransactionRequest,24,0,0,0,1,0,1,0,1,0
transaction-service,com.akulaku.transaction.domain.port.in,CreateTransactionUseCase.CreateTransactionResult,0,18,0,0,0,1,0,1,0,1
transaction-service,com.akulaku.transaction.domain.port.in,CreateTransactionUseCase.CreateTransactionCommand,5,29,2,2,1,3,2,1,0,1
transaction-service,com.akulaku.transaction.application.support,IdempotencyHasher,87,0,4,0,15,0,5,0,3,0
transaction-service,com.akulaku.transaction.domain.port.out,IdempotencyStore.ReservationStatus,0,27,0,0,0,5,0,1,0,1
transaction-service,com.akulaku.transaction.domain.port.out,IdempotencyStore.IdempotencyReservation,0,12,0,0,0,1,0,1,0,1
transaction-service,com.akulaku.transaction.domain.port.out,OutboxAppender.OutboxRecord,0,15,0,0,0,1,0,1,0,1
transaction-service,com.akulaku.transaction.infrastructure.persistence.jpa,TransactionEntity,94,0,0,0,41,0,27,0,27,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.jpa,CreditAccountEntity,73,0,0,0,32,0,21,0,21,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.jpa,OutboxEventEntity,66,0,0,0,29,0,19,0,19,0
transaction-service,com.akulaku.transaction.infrastructure.persistence.jpa,LedgerEntryEntity,59,0,0,0,26,0,17,0,17,0
transaction-service,com.akulaku.transaction.infrastructure.serialization,JacksonCreateTransactionResultSerializer,36,0,0,0,10,0,3,0,3,0
transaction-service,com.akulaku.transaction.infrastructure.serialization,JacksonCreateTransactionResultSerializer.Wire,58,0,0,0,10,0,3,0,3,0
transaction-service,com.akulaku.transaction.infrastructure.config,ApplicationBeansConfiguration,5,0,0,0,2,0,2,0,2,0
transaction-service,com.akulaku.transaction.infrastructure.redis,RedisIdempotencyStore,191,0,8,0,45,0,11,0,7,0
transaction-service,com.akulaku.transaction.infrastructure.redis,RedisIdempotencyStore.Payload,18,0,0,0,1,0,1,0,1,0
transaction-service,com.akulaku.transaction.application.service,DefaultCreateTransactionWorkflow,24,142,2,2,4,48,3,3,1,3
transaction-service,com.akulaku.transaction.application.service,CreateTransactionService,47,61,3,1,11,18,4,3,1,3
transaction-service,com.akulaku.transaction.infrastructure.kafka,OutboxKafkaRelay,115,0,6,0,33,0,7,0,4,0
